id,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
1334,7,214,110,0,0,63,9,0,0,0,23,95,48,17,14,0,0
1335,5,97,62,0,0,14,3,0,0,0,18,45,24,18,14,0,0
1336,7,196,97,0,0,22,27,0,0,0,25,85,38,25,21,0,0
1337,10,62,11,0,0,32,3,0,0,0,16,15,4,3,3,0,0
1338,16,517,328,0,0,162,15,0,0,0,66,253,121,103,86,0,0
1339,10,419,160,0,0,73,40,0,0,0,38,141,65,39,30,0,0
1340,11,442,172,0,0,178,37,0,0,0,48,156,69,48,34,0,0
1341,17,668,458,0,0,143,57,0,0,0,86,329,169,155,120,0,0
1342,18,607,198,0,0,88,54,0,0,0,75,193,79,53,40,0,0
1343,7,63,11,0,0,21,5,0,0,0,11,15,4,7,3,0,0
1344,11,404,162,0,0,55,37,0,0,0,40,134,65,69,32,0,0
1345,6,113,54,0,0,28,6,0,0,0,17,41,23,13,8,0,0
1346,18,832,250,0,0,444,46,0,0,0,46,176,96,148,58,0,0
1347,7,25,5,0,0,4,0,0,0,0,7,6,1,4,3,0,0
1348,5,29,7,0,0,4,2,0,0,0,13,8,3,2,1,0,0
1349,5,185,97,0,0,19,22,0,0,0,17,77,40,19,17,0,0
1350,16,313,99,0,0,54,14,0,0,0,60,95,42,24,15,0,0
1351,7,278,151,0,0,17,17,0,0,0,18,138,55,48,41,0,0
1352,7,183,62,0,0,16,34,0,0,0,21,42,20,22,22,0,0
1353,18,442,202,0,0,143,26,0,0,0,67,192,74,71,54,0,0
1354,5,20,4,0,0,3,3,0,0,0,4,4,2,1,0,0,0
1355,5,19,4,0,0,2,7,0,0,0,6,6,1,6,2,0,0
1356,5,217,122,0,0,63,12,0,0,0,24,117,49,38,24,0,0
1357,7,326,140,0,0,30,28,0,0,0,17,140,50,46,40,0,0
1358,17,570,333,0,0,237,22,0,0,0,75,301,127,130,79,0,0
1359,8,52,13,0,0,17,1,0,0,0,7,15,4,8,5,0,0
1360,9,69,32,0,0,32,6,0,0,0,13,33,13,11,6,0,0
1361,10,419,163,0,0,148,33,0,0,0,43,174,61,50,41,0,0
1362,12,41,8,0,0,10,1,0,0,0,10,13,4,0,0,0,0
1363,16,329,189,0,0,102,15,0,0,0,52,121,65,83,59,0,0
1364,18,571,251,0,0,44,70,0,0,0,55,217,94,80,63,0,0
1365,6,161,62,0,0,51,3,0,0,0,22,79,23,25,16,0,0
1366,4,67,19,0,0,18,2,0,0,0,8,16,8,5,3,0,0
1367,18,446,127,0,0,86,40,0,0,0,64,142,56,25,15,0,0
1368,9,85,42,0,0,21,3,0,0,0,13,44,19,6,4,0,0
1369,10,415,212,0,0,74,91,0,0,0,30,177,89,57,34,0,0
1370,12,434,257,0,0,48,50,0,0,0,28,214,98,75,61,0,0
1371,11,317,122,0,0,108,28,0,0,0,40,114,51,27,20,0,0
1372,2,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1373,5,44,23,0,0,14,1,0,0,0,12,16,9,9,5,0,0
1374,5,204,80,0,0,30,23,0,0,0,23,81,26,36,28,0,0
1375,3,32,3,0,0,5,7,0,0,0,8,4,1,2,1,0,0
1376,2,45,18,0,0,6,14,0,0,0,5,14,5,10,8,0,0
1377,1,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1378,7,191,91,0,0,50,4,0,0,0,26,64,33,33,25,0,0
1379,16,445,114,0,0,192,20,0,0,0,50,108,45,39,24,0,0
1380,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1381,18,850,458,0,0,179,100,0,0,0,58,382,170,138,118,0,0
1382,7,320,170,0,0,86,27,0,0,0,25,172,65,62,40,0,0
1383,14,180,55,0,0,40,7,0,0,0,32,50,24,18,7,0,0
1384,6,278,155,0,0,83,5,0,0,0,21,114,60,53,35,0,0
1385,15,412,140,0,0,78,17,0,0,0,40,151,61,29,18,0,0
1386,7,264,114,0,0,51,20,0,0,0,24,92,41,41,32,0,0
1387,7,187,84,0,0,47,12,0,0,0,22,63,25,45,34,0,0
1388,16,288,72,0,0,38,45,0,0,0,41,74,25,26,22,0,0
1389,4,22,6,0,0,7,2,0,0,0,3,6,3,1,0,0,0
1390,18,551,270,0,0,118,19,0,0,0,84,229,112,64,46,0,0
1391,11,424,242,0,0,59,32,0,0,0,43,216,101,52,40,0,0
1392,10,209,115,0,0,88,13,0,0,0,39,116,42,42,31,0,0
1393,5,191,91,0,0,82,12,0,0,0,24,66,33,38,25,0,0
1394,2,4,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0
1395,11,445,332,0,0,58,59,0,0,0,35,223,123,113,86,0,0
1396,7,282,151,0,0,54,32,0,0,0,21,134,48,76,55,0,0
1397,18,514,303,0,0,58,37,0,0,0,45,296,124,69,55,0,0
1398,11,428,181,0,0,54,18,0,0,0,44,174,72,50,37,0,0
1399,5,103,32,0,0,16,9,0,0,0,17,45,12,10,8,0,0
1400,6,57,30,0,0,23,3,0,0,0,12,21,12,10,6,0,0
1401,5,50,19,0,0,11,5,0,0,0,14,22,8,3,3,0,0
1402,6,197,59,0,0,74,4,0,0,0,17,53,23,25,13,0,0
1403,6,142,72,0,0,25,17,0,0,0,10,78,29,18,14,0,0
1404,6,232,121,0,0,51,21,0,0,0,22,109,48,31,25,0,0
1405,6,208,81,0,0,21,10,0,0,0,22,69,30,27,21,0,0
1406,6,215,109,0,0,51,15,0,0,0,23,90,34,53,41,0,0
1407,7,199,71,0,0,63,8,0,0,0,25,69,28,18,15,0,0
1408,6,129,27,0,0,43,5,0,0,0,14,33,9,11,9,0,0
1409,5,59,23,0,0,5,6,0,0,0,12,28,11,3,1,0,0
1410,17,727,404,0,0,70,79,0,0,0,68,327,144,133,116,0,0
1411,16,380,217,0,0,40,34,0,0,0,50,176,75,99,67,0,0
1412,4,173,81,0,0,18,21,0,0,0,16,79,29,35,23,0,0
1413,4,63,14,0,0,23,1,0,0,0,11,18,7,0,0,0,0
1414,4,153,55,0,0,18,12,0,0,0,13,51,24,11,7,0,0
1415,9,88,25,0,0,23,8,0,0,0,7,30,9,9,7,0,0
1416,7,96,47,0,0,23,6,0,0,0,26,39,19,10,9,0,0
1417,5,61,23,0,0,27,2,0,0,0,17,22,8,10,7,0,0
1418,12,369,174,0,0,42,50,0,0,0,48,173,60,66,54,0,0
1419,11,62,34,0,0,21,2,0,0,0,14,33,15,10,4,0,0
1420,16,593,317,0,0,124,31,0,0,0,67,284,115,111,87,0,0
1421,4,171,113,0,0,21,16,0,0,0,10,114,44,31,25,0,0
1422,11,342,139,0,0,79,27,0,0,0,49,149,59,33,21,0,0
1423,6,180,86,0,0,18,23,0,0,0,16,96,39,11,8,0,0
1424,12,456,196,0,0,101,21,0,0,0,38,179,82,38,32,0,0
1425,18,348,224,0,0,83,21,0,0,0,51,168,87,60,50,0,0
1426,11,194,73,0,0,13,16,0,0,0,25,86,30,22,13,0,0
1427,3,10,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
1428,17,419,102,0,0,116,11,0,0,0,41,81,32,57,38,0,0
1429,17,202,86,0,0,21,18,0,0,0,33,114,34,27,18,0,0
1430,14,98,43,0,0,28,4,0,0,0,11,30,18,12,7,0,0
1431,7,201,106,0,0,29,6,0,0,0,32,111,48,11,10,0,0
1432,7,227,139,0,0,68,10,0,0,0,21,114,51,43,37,0,0
1433,2,9,4,0,0,1,0,0,0,0,1,3,2,2,0,0,0
1434,10,429,257,0,0,141,19,0,0,0,40,198,101,70,55,0,0
1435,5,76,37,0,0,11,2,0,0,0,13,37,16,6,5,0,0
1436,10,108,52,0,0,17,3,0,0,0,27,39,20,16,12,0,0
1437,18,829,195,0,0,369,98,0,0,0,65,182,77,81,41,0,0
1438,5,36,12,0,0,5,1,0,0,0,4,21,5,2,2,0,0
1439,4,137,53,0,0,32,4,0,0,0,16,52,23,8,7,0,0
1440,12,340,163,0,0,100,16,0,0,0,35,117,60,60,43,0,0
1441,18,392,199,0,0,38,46,0,0,0,60,172,72,70,55,0,0
1442,11,258,61,0,0,92,21,0,0,0,32,58,21,37,19,0,0
1443,2,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1444,7,131,39,0,0,42,8,0,0,0,19,31,16,13,7,0,0
1445,7,157,45,0,0,42,9,0,0,0,24,57,19,16,7,0,0
1446,12,251,77,0,0,57,8,0,0,0,35,65,29,30,19,0,0
1447,1,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0
1448,16,391,100,0,0,77,59,0,0,0,53,117,36,47,28,0,0
1449,7,118,67,0,0,23,6,0,0,0,9,59,23,34,21,0,0
1450,6,263,100,0,0,117,28,0,0,0,18,102,40,34,20,0,0
1451,6,96,33,0,0,25,7,0,0,0,14,35,13,11,7,0,0
1452,4,165,75,0,0,74,5,0,0,0,14,57,30,19,15,0,0
1453,7,214,115,0,0,17,12,0,0,0,24,85,39,41,37,0,0
1454,5,57,28,0,0,6,1,0,0,0,5,37,11,7,6,0,0
1455,4,109,54,0,0,23,8,0,0,0,5,43,23,12,8,0,0
1456,18,757,556,0,0,71,135,0,0,0,52,423,196,204,164,0,0
1457,7,93,36,0,0,32,5,0,0,0,21,33,16,16,4,0,0
1458,7,255,109,0,0,24,14,0,0,0,28,112,41,39,27,0,0
1459,4,42,24,0,0,4,3,0,0,0,4,26,10,4,4,0,0
1460,5,45,3,0,0,18,8,0,0,0,9,7,0,4,3,0,0
1461,10,92,39,0,0,26,2,0,0,0,20,42,11,23,17,0,0
1462,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1463,10,435,352,0,0,168,41,0,0,0,25,245,139,101,74,0,0
1464,16,307,128,0,0,37,0,0,0,0,0,134,50,31,28,0,0
1465,19,714,321,0,0,39,64,0,0,0,64,280,131,76,59,0,0
1466,14,317,77,0,0,33,25,0,0,0,41,88,28,41,21,0,0
1467,7,302,278,0,0,70,23,0,0,0,0,203,108,68,62,0,0
1468,18,667,336,0,0,173,83,0,0,0,50,296,138,81,60,0,0
1469,9,146,81,0,0,26,8,0,0,0,19,65,31,26,19,0,0
1470,5,110,44,0,0,10,23,0,0,0,0,36,18,9,8,0,0
1471,6,219,108,0,0,64,19,0,0,0,0,86,50,9,8,0,0
1472,12,439,190,0,0,144,19,0,0,0,41,176,77,47,36,0,0
1473,15,227,93,0,0,58,5,0,0,0,36,69,36,24,21,0,0
1474,9,368,151,0,0,140,35,0,0,0,32,126,59,46,33,0,0
1475,5,177,88,0,0,72,16,0,0,0,19,79,40,13,8,0,0
1476,6,193,107,0,0,49,54,0,0,0,0,97,46,21,15,0,0
1477,18,128,43,0,0,44,6,0,0,0,34,47,18,10,7,0,0
1478,6,116,56,0,0,17,3,0,0,0,0,61,25,12,6,0,0
1479,19,616,235,0,0,72,60,0,0,0,59,233,100,43,35,0,0
1480,9,381,104,0,0,154,29,0,0,0,37,110,44,27,16,0,0
1481,15,693,410,0,0,151,84,0,0,0,58,318,151,131,108,0,0
1482,9,393,225,0,0,45,38,0,0,0,34,198,93,60,39,0,0
1483,17,593,388,0,0,63,101,0,0,0,0,294,133,156,122,0,0
1484,7,197,87,0,0,49,13,0,0,0,0,61,37,27,13,0,0
1485,7,253,99,0,0,31,24,0,0,0,27,107,41,28,17,0,0
1486,3,65,26,0,0,18,2,0,0,0,0,21,11,5,4,0,0
1487,7,73,33,0,0,17,7,0,0,0,6,37,14,8,5,0,0
1488,18,851,398,0,0,399,81,0,0,0,42,288,158,202,82,0,0
1489,10,148,101,0,0,22,12,0,0,0,0,75,37,36,27,0,0
1490,9,133,69,0,0,26,5,0,0,0,10,50,28,19,13,0,0
1491,11,55,28,0,0,3,0,0,0,0,0,17,8,14,12,0,0
1492,5,146,68,0,0,14,18,0,0,0,10,60,26,22,16,0,0
1493,6,251,136,0,0,23,31,0,0,0,0,124,56,31,24,0,0
1494,12,313,110,0,0,33,68,0,0,0,41,118,43,32,24,0,0
1495,14,212,85,0,0,74,16,0,0,0,48,88,37,13,11,0,0
1496,10,208,88,0,0,35,37,0,0,0,27,88,34,24,20,0,0
1497,5,205,146,0,0,52,20,0,0,0,19,123,61,36,24,0,0
1498,8,45,21,0,0,12,2,0,0,0,6,18,10,2,1,0,0
1499,12,526,187,0,0,45,81,0,0,0,0,198,73,53,41,0,0
1500,10,399,163,0,0,87,57,0,0,0,39,142,72,29,19,0,0
1501,15,533,290,0,0,265,15,0,0,0,62,243,108,111,74,0,0
1502,9,117,38,0,0,30,6,0,0,0,24,37,14,17,10,0,0
1503,19,701,305,0,0,220,46,0,0,0,63,309,130,68,45,0,0
1504,7,281,122,0,0,71,9,0,0,0,0,97,48,39,26,0,0
1505,7,65,31,0,0,14,5,0,0,0,0,24,14,3,3,0,0
1506,16,162,56,0,0,5,22,0,0,0,20,43,23,11,10,0,0
1507,3,8,2,0,0,3,0,0,0,0,0,4,0,2,2,0,0
1508,17,553,169,0,0,77,74,0,0,0,44,153,71,35,27,0,0
1509,4,76,19,0,0,13,0,0,0,0,0,14,6,10,7,0,0
1510,6,174,67,0,0,64,8,0,0,0,20,69,25,24,17,0,0
1511,19,834,304,0,0,149,156,0,0,0,53,247,118,89,68,0,0
1512,18,595,230,0,0,52,39,0,0,0,68,198,101,32,28,0,0
1513,7,265,142,0,0,32,38,0,0,0,21,118,56,35,30,0,0
1514,1,8,2,0,0,2,3,0,0,0,0,4,1,1,0,0,0
1515,6,69,18,0,0,23,5,0,0,0,8,28,8,5,2,0,0
1516,7,82,32,0,0,28,3,0,0,0,0,29,11,15,10,0,0
1517,5,178,77,0,0,17,27,0,0,0,16,74,33,13,11,0,0
1518,7,67,16,0,0,17,2,0,0,0,14,21,6,6,4,0,0
1519,2,56,33,0,0,8,4,0,0,0,6,21,13,7,7,0,0
1520,2,23,13,0,0,3,1,0,0,0,1,8,6,1,1,0,0
1521,16,296,118,0,0,76,20,0,0,0,31,108,47,35,24,0,0
1522,5,106,44,0,0,20,18,0,0,0,13,61,21,3,2,0,0
1523,12,395,192,0,0,79,34,0,0,0,49,170,85,36,22,0,0
1524,7,267,71,0,0,95,19,0,0,0,0,67,30,18,11,0,0
1525,7,89,30,0,0,13,12,0,0,0,13,42,15,2,0,0,0
1526,5,154,81,0,0,16,25,0,0,0,13,68,32,19,17,0,0
1527,7,328,178,0,0,97,41,0,0,0,22,150,62,66,54,0,0
1528,12,568,439,0,0,237,39,0,0,0,31,362,185,83,69,0,0
1529,6,7,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
1530,5,75,35,0,0,18,3,0,0,0,10,25,13,11,9,0,0
1531,5,29,11,0,0,5,2,0,0,0,6,10,4,4,3,0,0
1532,9,360,197,0,0,40,33,0,0,0,34,187,78,50,41,0,0
1533,7,233,110,0,0,42,11,0,0,0,0,100,45,29,20,0,0
1534,5,138,45,0,0,35,11,0,0,0,23,48,22,7,1,0,0
1535,16,662,460,139,68,207,46,0,0,79,56,350,161,202,135,17,3
1536,5,73,20,0,0,33,3,0,0,0,11,19,9,2,2,0,0
1537,17,526,243,0,0,74,53,0,0,0,0,229,102,48,39,0,0
1538,7,216,94,0,0,67,5,0,0,0,0,69,32,52,30,0,0
1539,7,298,129,0,0,80,9,0,0,0,20,111,51,34,27,0,0
1540,2,7,2,0,0,4,0,0,0,0,4,3,1,0,0,0,0
1541,12,535,314,0,0,64,76,0,0,0,41,207,113,101,88,0,0
1542,6,91,36,0,0,23,5,0,0,0,0,40,16,8,4,0,0
1543,5,160,79,0,0,11,24,0,0,0,16,65,34,14,11,0,0
1544,3,14,4,0,0,6,4,0,0,0,2,3,1,3,2,0,0
1545,7,138,23,0,0,29,6,0,0,0,16,42,10,6,3,0,0
1546,2,20,7,0,0,4,0,0,0,0,0,5,2,3,3,0,0
1547,6,237,121,0,0,86,9,0,0,0,0,98,48,35,25,0,0
1548,14,532,275,0,0,57,54,0,0,0,50,234,89,116,97,0,0
1549,7,153,67,0,0,16,8,0,0,0,24,77,26,21,15,0,0
1550,5,172,59,0,0,46,4,0,0,0,12,52,20,24,19,0,0
1551,3,6,4,0,0,2,1,0,0,0,1,3,2,0,0,0,0
1552,4,91,48,0,0,27,8,0,0,0,0,38,19,14,10,0,0
1553,2,29,11,0,0,9,3,0,0,0,2,10,5,2,1,0,0
1554,7,265,125,0,0,47,22,0,0,0,27,114,48,34,29,0,0
1555,2,7,4,0,0,0,0,0,0,0,2,3,2,0,0,0,0
1556,5,14,7,0,0,3,3,0,0,0,2,7,3,1,1,0,0
1557,10,377,149,0,0,36,21,0,0,0,22,144,62,31,25,0,0
1558,5,51,24,0,0,11,0,0,0,0,0,25,8,10,8,0,0
1559,7,71,20,0,0,9,3,0,0,0,14,29,8,5,4,0,0
1560,7,316,127,0,0,22,33,0,0,0,0,104,48,38,31,0,0
1561,5,63,8,0,0,5,0,0,0,0,5,10,4,0,0,0,0
1562,3,10,2,0,0,4,0,0,0,0,4,5,1,0,0,0,0
1563,4,168,62,0,0,26,25,0,0,0,0,76,25,16,12,0,0
1564,7,299,196,0,0,23,28,0,0,0,23,154,74,60,48,0,0
1565,7,35,8,0,0,11,1,0,0,0,0,11,3,5,2,0,0
1566,6,42,34,0,0,12,2,0,0,0,8,33,15,4,4,0,0
1567,4,51,15,0,0,12,0,0,0,0,0,16,6,3,3,0,0
1568,1,12,12,0,0,1,6,0,0,0,0,9,5,4,2,0,0
1569,12,211,37,0,0,61,0,0,0,0,0,43,18,7,1,0,0
1570,4,126,39,0,0,54,4,0,0,0,0,42,15,13,9,0,0
1571,4,22,7,0,0,6,0,0,0,0,0,6,3,2,1,0,0
1572,6,50,26,0,0,11,4,0,0,0,9,24,12,4,2,0,0
1573,6,219,131,0,0,81,29,0,0,0,0,108,51,41,29,0,0
1574,17,664,296,0,0,254,41,0,0,0,0,240,113,91,70,0,0
1575,18,732,426,0,0,248,51,0,0,0,60,378,178,95,70,0,0
1576,19,296,131,0,0,46,27,0,0,0,33,109,53,35,25,0,0
1577,9,61,22,0,0,16,0,0,0,0,13,18,8,10,6,0,0
1578,10,300,128,0,0,23,50,0,0,0,22,129,42,50,44,0,0
1579,7,68,17,0,0,4,21,0,0,0,7,14,4,12,9,0,0
1580,19,306,178,0,0,47,16,0,0,0,31,165,80,19,18,0,0
1581,7,90,32,0,0,21,4,0,0,0,8,34,11,14,10,0,0
1582,7,286,113,0,0,111,30,0,0,0,29,109,46,32,21,0,0
1583,7,222,101,0,0,53,21,0,0,0,0,78,39,28,23,0,0
1584,5,190,74,0,0,39,11,0,0,0,18,74,29,25,16,0,0
1585,7,82,30,0,0,26,4,0,0,0,5,19,11,10,8,0,0
1586,10,329,107,0,0,85,22,0,0,0,34,94,47,22,13,0,0
1587,2,10,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
1588,12,354,136,0,0,96,12,0,0,0,0,99,54,38,28,0,0
1589,19,275,137,0,0,77,20,0,0,0,35,133,61,16,15,0,0
1590,17,724,388,0,0,158,42,0,0,0,0,388,165,77,58,0,0
1591,7,313,185,0,0,30,36,0,0,0,0,143,70,52,45,0,0
1592,2,5,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0
1593,7,129,10,0,0,22,19,0,0,0,0,11,5,0,0,0,0
1594,14,187,30,0,0,48,36,0,0,0,37,38,12,11,6,0,0
1595,12,270,114,0,0,64,16,0,0,0,0,91,41,44,32,0,0
1596,11,148,65,0,0,38,16,0,0,0,22,51,23,23,19,0,0
1597,4,5,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0
1598,7,289,73,0,0,165,24,0,0,0,25,70,29,19,15,0,0
1599,7,255,115,0,0,18,29,0,0,0,23,100,43,33,29,0,0
1600,4,156,104,0,0,11,10,0,0,0,0,102,48,11,8,0,0
1601,5,178,97,0,0,42,11,0,0,0,14,83,35,33,27,0,0
1602,5,63,40,0,0,35,2,0,0,0,13,43,17,8,6,0,0
1603,10,129,38,0,0,29,11,0,0,0,27,38,16,10,6,0,0
1604,10,22,4,0,0,3,2,0,0,0,6,5,2,0,0,0,0
1605,5,167,63,0,0,49,9,0,0,0,18,57,25,23,13,0,0
1606,5,121,58,0,0,6,24,0,0,0,11,59,25,10,8,0,0
1607,4,59,38,0,0,19,2,0,0,0,9,31,16,12,6,0,0
1608,18,830,562,0,0,66,151,0,0,0,55,418,196,212,170,0,0
1609,2,16,8,0,0,4,1,0,0,0,5,7,4,2,0,0,0
1610,2,23,9,0,0,12,1,0,0,0,4,13,4,1,1,0,0
1611,12,237,115,0,0,64,23,0,0,0,0,97,50,31,15,0,0
1612,3,9,6,0,0,3,0,0,0,0,0,7,3,0,0,0,0
1613,14,577,372,0,0,238,35,0,0,0,35,295,152,101,68,0,0
1614,14,312,102,0,0,40,52,0,0,0,30,81,41,28,20,0,0
1615,6,98,47,0,0,29,3,0,0,0,15,29,16,22,15,0,0
1616,4,47,13,0,0,8,11,0,0,0,13,7,4,7,5,0,0
1617,7,144,53,0,0,27,5,0,0,0,25,36,21,15,11,0,0
1618,12,455,234,0,0,38,36,0,0,0,33,199,95,63,44,0,0
1619,6,287,188,0,0,70,24,0,0,0,23,135,70,59,48,0,0
1620,2,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
1621,3,45,10,0,0,7,5,0,0,0,8,14,4,3,2,0,0
1622,4,115,44,0,0,42,6,0,0,0,9,52,20,5,4,0,0
1623,18,698,418,0,0,263,43,0,0,0,75,293,157,123,104,0,0
1624,5,216,104,0,0,72,10,0,0,0,16,69,41,29,22,0,0
1625,7,169,43,0,0,67,31,0,0,0,17,41,19,7,5,0,0
1626,18,569,300,0,0,110,94,0,0,0,71,256,113,86,74,0,0
1627,14,283,104,0,0,74,17,0,0,0,35,85,41,29,22,0,0
1628,12,368,126,0,0,41,43,0,0,0,40,132,56,19,14,0,0
1629,5,229,49,0,0,104,5,0,0,0,17,58,23,9,3,0,0
1630,11,477,230,0,0,84,53,0,0,0,42,194,88,69,54,0,0
1631,6,35,18,0,0,6,1,0,0,0,4,10,5,12,8,0,0
1632,6,255,163,0,0,16,42,0,0,0,10,120,62,46,39,0,0
1633,18,597,263,0,0,82,36,0,0,0,63,260,108,73,47,0,0
1634,12,409,229,0,0,108,29,0,0,0,46,190,88,65,53,0,0
1635,4,22,7,0,0,5,0,0,0,0,4,9,3,2,1,0,0
1636,12,554,220,0,0,242,53,0,0,0,33,187,85,97,50,0,0
1637,5,21,16,0,0,7,2,0,0,0,3,10,6,6,4,0,0
1638,7,295,165,0,0,29,34,0,0,0,21,139,66,45,33,0,0
1639,18,639,286,0,0,74,64,0,0,0,67,269,109,85,68,0,0
1640,4,76,21,0,0,6,11,0,0,0,2,21,8,5,5,0,0
1641,1,9,7,0,0,0,1,0,0,0,1,4,2,4,3,0,0
1642,7,301,181,0,0,108,40,0,0,0,28,142,67,67,47,0,0
1643,14,89,24,0,0,24,1,0,0,0,10,21,9,9,6,0,0
1644,19,828,300,0,0,78,179,0,0,0,56,304,117,89,66,0,0
1645,14,535,269,0,0,134,48,0,0,0,45,244,113,55,43,0,0
1646,11,457,235,0,0,211,16,0,0,0,38,194,94,63,47,0,0
1647,5,119,56,0,0,22,4,0,0,0,17,36,17,27,22,0,0
1648,1,2,2,0,0,1,0,0,0,0,1,2,0,2,2,0,0
1649,6,180,78,0,0,48,31,0,0,0,26,58,28,29,22,0,0
1650,12,488,197,0,0,156,22,0,0,0,40,202,84,44,29,0,0
1651,6,171,73,0,0,18,13,0,0,0,32,55,29,19,15,0,0
1652,2,10,4,0,0,3,1,0,0,0,0,4,1,2,2,0,0
1653,5,32,11,0,0,11,1,0,0,0,10,10,5,4,1,0,0
1654,12,296,124,0,0,120,20,0,0,0,44,99,50,32,24,0,0
1655,5,91,28,0,0,21,0,0,0,0,8,42,13,3,2,0,0
1656,8,313,125,0,0,45,22,0,0,0,34,99,54,22,17,0,0
1657,8,24,0,0,0,8,1,0,0,0,9,4,0,0,0,0,0
1658,2,9,5,0,0,0,0,0,0,0,2,3,2,3,1,0,0
1659,5,49,18,0,0,12,5,0,0,0,6,19,8,2,2,0,0
1660,7,167,79,0,0,66,17,0,0,0,17,76,33,19,13,0,0
1661,2,40,17,0,0,10,2,0,0,0,4,21,7,8,3,0,0
1662,12,501,271,0,0,70,54,0,0,0,45,204,108,75,55,0,0
1663,4,144,89,0,0,24,5,0,0,0,9,84,38,16,13,0,0
1664,6,43,16,0,0,15,4,0,0,0,11,22,6,6,4,0,0
1665,12,518,305,0,0,38,91,0,0,0,38,247,105,113,95,0,0
1666,4,182,31,0,0,61,22,0,0,0,18,32,11,10,9,0,0
1667,7,16,12,0,0,5,0,0,0,0,4,11,4,4,4,0,0
1668,7,265,125,0,0,25,33,0,0,0,35,112,49,36,27,0,0
1669,12,471,204,0,0,109,34,0,0,0,41,164,83,50,38,0,0
1670,7,42,16,0,0,13,1,0,0,0,9,14,4,9,8,0,0
1671,7,38,12,0,0,7,2,0,0,0,5,15,5,2,2,0,0
1672,5,31,18,0,0,13,1,0,0,0,5,20,6,7,6,0,0
1673,4,126,35,0,0,32,11,0,0,0,12,34,11,17,13,0,0
1674,7,122,47,0,0,31,4,0,0,0,25,45,19,18,9,0,0
1675,5,213,127,0,0,35,15,0,0,0,19,108,49,39,29,0,0
1676,19,352,175,0,0,88,33,0,0,0,76,168,65,73,45,0,0
1677,7,25,7,0,0,5,2,0,0,0,7,6,3,1,1,0,0
1678,19,670,534,0,0,221,28,0,0,0,78,408,206,139,122,0,0
1679,11,250,86,28,12,40,33,0,0,21,27,96,29,31,25,28,3
1680,7,160,39,0,0,61,11,0,0,0,17,38,16,10,7,0,0
1681,18,598,271,0,0,79,109,0,0,0,47,237,114,54,43,0,0
1682,5,30,9,0,0,10,2,0,0,0,8,14,4,1,1,0,0
1683,11,35,15,0,0,11,2,0,0,0,9,13,7,2,1,0,0
1684,11,365,143,0,0,114,30,0,0,0,34,128,54,47,35,0,0
1685,12,253,111,0,0,100,32,0,0,0,54,92,41,44,29,0,0
1686,4,130,65,0,0,24,15,0,0,0,16,48,24,25,17,0,0
1687,6,216,101,0,0,25,37,0,0,0,20,86,34,36,33,0,0
1688,5,77,29,0,0,5,5,0,0,0,9,26,7,18,15,0,0
1689,4,103,35,0,0,22,10,0,0,0,10,40,12,15,11,0,0
1690,4,163,89,0,0,21,9,0,0,0,14,88,39,11,11,0,0
1691,7,115,48,0,0,12,11,0,0,0,22,52,19,13,10,0,0
1692,4,158,60,0,0,49,13,0,0,0,17,56,28,6,4,0,0
1693,2,4,4,0,0,0,0,0,0,0,1,1,1,3,2,0,0
1694,7,147,46,0,0,21,27,0,0,0,25,45,19,12,8,0,0
1695,4,143,41,0,0,40,14,0,0,0,19,72,19,8,3,0,0
1696,6,204,76,0,0,47,3,0,0,0,16,69,35,12,6,0,0
1697,5,93,24,0,0,37,2,0,0,0,13,24,10,8,4,0,0
1698,11,384,106,0,0,48,52,0,0,0,40,107,39,37,28,0,0
1699,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1700,17,500,232,0,0,38,52,0,0,0,57,212,84,85,64,0,0
1701,7,330,187,0,0,51,10,0,0,0,26,161,79,36,29,0,0
1702,5,171,89,0,0,50,16,0,0,0,14,77,39,16,11,0,0
1703,5,199,110,0,0,26,24,0,0,0,14,122,46,26,18,0,0
1704,18,750,370,0,0,145,56,0,0,0,54,319,147,93,76,0,0
1705,3,11,4,0,0,3,0,0,0,0,2,5,2,0,0,0,0
1706,12,232,55,0,0,26,17,0,0,0,30,76,27,6,1,0,0
1707,5,22,17,0,0,13,2,0,0,0,3,11,8,2,1,0,0
1708,14,491,208,0,0,31,34,0,0,0,36,168,90,33,28,0,0
1709,10,52,7,0,0,16,8,0,0,0,8,12,3,2,1,0,0
